Phase,PhaseIdent,X(m),Y(m),MaterialId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m),Tskin(kN/m),Tlat(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-19.000000,96.000000,1,-0.043792,-0.000506,0.043795,-0.008406,-0.011967,0.014624,0.000506,-0.043792,-0.000000,-2319.760025,-1987.892822,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.850000,1,-0.043723,-0.000482,0.043725,-0.008373,-0.011950,0.014592,0.000482,-0.043723,-352.912452,-2310.538679,-2129.510737,0.000000,-1176.564278,1717.926031
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.700000,1,-0.043677,-0.000438,0.043679,-0.008336,-0.011931,0.014555,0.000438,-0.043677,-669.066465,-1815.189066,-2344.098304,0.000000,-1701.471464,4714.064858
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.550000,1,-0.043649,-0.000367,0.043651,-0.008286,-0.011911,0.014509,0.000367,-0.043649,-871.920007,-806.062712,-2626.864953,0.000000,-2085.717469,8569.026891
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.400000,1,-0.043733,-0.000251,0.043734,-0.008215,-0.011887,0.014450,0.000251,-0.043733,-883.630089,744.488859,-2973.020113,0.000000,3.858124,27.763895
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.400000,1,-0.043733,-0.000251,0.043734,-0.008215,-0.011887,0.014450,0.000251,-0.043733,-883.630089,179.796881,-2855.412235,0.000000,0.000000,1.154041
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.318623,1,-0.043780,-0.000179,0.043780,-0.008174,-0.011874,0.014416,0.000179,-0.043780,-868.995102,179.989921,-2855.825374,0.000000,0.000000,3.141206
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.237246,1,-0.043778,-0.000099,0.043778,-0.008132,-0.011861,0.014381,0.000099,-0.043778,-854.332709,180.306076,-2856.238903,0.000000,0.000000,4.568735
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.155869,1,-0.043771,-0.000011,0.043771,-0.008089,-0.011848,0.014346,0.000011,-0.043771,-839.639339,180.750283,-2856.652524,0.000000,0.000000,6.288661
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.074492,1,-0.043757,0.000086,0.043757,-0.008045,-0.011835,0.014311,-0.000086,-0.043757,-824.911286,181.327477,-2857.065940,0.000000,0.000000,6.751279
Phase_19,Ramped Internal Load [Phase_19],-19.000000,95.074492,1,-0.043757,0.000086,0.043757,-0.008045,-0.011835,0.014311,-0.000086,-0.043757,-824.911286,181.318464,-2857.066060,0.000000,0.000000,6.751279
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.987367,1,-0.043530,0.000183,0.043530,-0.007998,-0.011822,0.014273,-0.000183,-0.043530,-809.097991,181.729519,-2857.508849,0.000000,0.000000,3.441843
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.900243,1,-0.043294,0.000279,0.043295,-0.007950,-0.011808,0.014235,-0.000279,-0.043294,-793.251552,181.914949,-2857.951830,0.000000,0.000000,0.727707
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.813118,1,-0.043063,0.000375,0.043064,-0.007901,-0.011794,0.014196,-0.000375,-0.043063,-777.398340,181.883070,-2858.394684,0.000000,0.000000,-1.547128
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.725993,1,-0.042831,0.000474,0.042833,-0.007852,-0.011780,0.014157,-0.000474,-0.042831,-761.564502,181.642201,-2858.837090,0.000000,0.000000,-2.625589
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.725993,1,-0.042831,0.000474,0.042833,-0.007852,-0.011780,0.014157,-0.000474,-0.042831,-761.564502,181.467271,-2858.838355,0.000000,0.000000,-2.625589
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.374430,1,-0.041843,0.000910,0.041853,-0.007645,-0.011724,0.013997,-0.000910,-0.041843,-697.839820,181.040921,-2860.621961,0.000000,0.000000,-1.672176
Phase_19,Ramped Internal Load [Phase_19],-19.000000,94.022866,1,-0.040780,0.001346,0.040802,-0.007430,-0.011668,0.013833,-0.001346,-0.040780,-634.319783,180.221194,-2862.406029,0.000000,0.000000,-3.466168
Phase_19,Ramped Internal Load [Phase_19],-19.000000,93.671303,1,-0.039638,0.001758,0.039677,-0.007206,-0.011612,0.013667,-0.001758,-0.039638,-571.116582,179.193801,-2864.189670,0.000000,0.000000,-2.853692
Phase_19,Ramped Internal Load [Phase_19],-19.000000,93.319740,1,-0.038415,0.002161,0.038475,-0.006976,-0.011556,0.013499,-0.002161,-0.038415,-508.322613,178.144452,-2865.972000,0.000000,0.000000,1.555644
Phase_19,Ramped Internal Load [Phase_19],-19.000000,93.319740,1,-0.038415,0.002161,0.038475,-0.006976,-0.011556,0.013499,-0.002161,-0.038415,-508.322613,177.865583,-2865.756880,0.000000,0.000000,1.260820
Phase_19,Ramped Internal Load [Phase_19],-19.000000,92.841633,1,-0.036651,0.002378,0.036728,-0.006654,-0.011480,0.013269,-0.002378,-0.036651,-422.043784,184.162998,-2868.554479,0.000000,0.000000,19.864616
Phase_19,Ramped Internal Load [Phase_19],-19.000000,92.363526,1,-0.035141,0.002504,0.035230,-0.006324,-0.011404,0.013040,-0.002504,-0.035141,-331.217444,196.788196,-2870.779341,0.000000,0.000000,32.585207
Phase_19,Ramped Internal Load [Phase_19],-19.000000,91.885418,1,-0.033613,0.002383,0.033697,-0.005989,-0.011328,0.012814,-0.002383,-0.033613,-232.793278,215.913125,-2871.982962,0.000000,4.275803,47.057000
Phase_19,Ramped Internal Load [Phase_19],-19.000000,91.407311,1,-0.032420,0.002342,0.032505,-0.005651,-0.011253,0.012592,-0.002342,-0.032420,-123.693429,241.709735,-2871.716840,0.000000,0.224748,62.539350
Phase_19,Ramped Internal Load [Phase_19],-19.000000,91.407311,1,-0.032420,0.002342,0.032505,-0.005651,-0.011253,0.012592,-0.002342,-0.032420,-123.693429,255.896655,-2875.066584,0.000000,1.540361,105.754912
Phase_19,Ramped Internal Load [Phase_19],-19.000000,90.890492,1,-0.016229,-0.008970,0.018543,-0.005287,-0.011171,0.012359,0.008970,-0.016229,10.322799,260.945764,-2868.919324,0.000000,17.952705,0.849197
Phase_19,Ramped Internal Load [Phase_19],-19.000000,90.373672,1,-0.014408,-0.009005,0.016991,-0.004925,-0.011091,0.012135,0.009005,-0.014408,144.295140,256.191311,-2861.789560,0.000000,19.654724,-21.919670
Phase_19,Ramped Internal Load [Phase_19],-19.000000,89.856853,1,-0.012726,-0.010009,0.016191,-0.004571,-0.011010,0.011921,0.010009,-0.012726,273.770087,243.171036,-2853.606795,0.000000,22.028074,-31.141548
Phase_19,Ramped Internal Load [Phase_19],-19.000000,89.340033,1,-0.010966,-0.011091,0.015597,-0.004227,-0.010930,0.011719,0.011091,-0.010966,394.534856,223.422681,-2844.300534,0.000000,25.942855,-46.887637
Phase_19,Ramped Internal Load [Phase_19],-19.000000,89.340033,1,-0.010966,-0.011091,0.015597,-0.004227,-0.010930,0.011719,0.011091,-0.010966,394.534856,223.429754,-2844.356964,0.000000,24.970911,-49.352932
Phase_19,Ramped Internal Load [Phase_19],-19.000000,88.817498,1,-0.009448,-0.011663,0.015010,-0.003892,-0.010850,0.011527,0.011663,-0.009448,503.996813,195.117768,-2832.431570,0.000000,28.704943,-57.050097
Phase_19,Ramped Internal Load [Phase_19],-19.000000,88.294962,1,-0.008233,-0.012285,0.014789,-0.003572,-0.010771,0.011347,0.012285,-0.008233,597.917775,163.808468,-2819.633732,0.000000,30.580831,-62.789115
Phase_19,Ramped Internal Load [Phase_19],-19.000000,87.772427,1,-0.007120,-0.012866,0.014704,-0.003268,-0.010692,0.011180,0.012866,-0.007120,674.713391,129.543885,-2806.063727,0.000000,31.660728,-68.362644
Phase_19,Ramped Internal Load [Phase_19],-19.000000,87.249891,1,-0.006129,-0.013452,0.014783,-0.002983,-0.010614,0.011025,0.013452,-0.006129,732.800399,92.366051,-2791.821831,0.000000,32.970384,-68.569267
Phase_19,Ramped Internal Load [Phase_19],-19.000000,87.249891,1,-0.006129,-0.013452,0.014783,-0.002983,-0.010614,0.011025,0.013452,-0.006129,732.800399,94.301683,-2792.123041,0.000000,33.345307,-69.234425
Phase_19,Ramped Internal Load [Phase_19],-19.000000,86.721576,1,-0.005205,-0.014014,0.014949,-0.002714,-0.010536,0.010880,0.014014,-0.005205,772.364917,56.052644,-2775.612293,0.000000,37.492294,-69.085240
Phase_19,Ramped Internal Load [Phase_19],-19.000000,86.193262,1,-0.004500,-0.014633,0.015310,-0.002465,-0.010459,0.010746,0.014633,-0.004500,792.626665,21.267800,-2757.850922,0.000000,40.005497,-62.771969
Phase_19,Ramped Internal Load [Phase_19],-19.000000,85.664947,1,-0.004035,-0.015333,0.015855,-0.002236,-0.010383,0.010621,0.015333,-0.004035,795.476992,-9.911035,-2738.921815,0.000000,41.913380,-55.432771
Phase_19,Ramped Internal Load [Phase_19],-19.000000,85.136632,1,-0.003820,-0.016107,0.016553,-0.002027,-0.010308,0.010506,0.016107,-0.003820,782.824385,-37.342047,-2718.907860,0.000000,44.145771,-45.300781
